case,step,cmd_vx,cmd_vy,cmd_yaw,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,raw_action_abs_max,sent_action_abs_max,q_target_abs_max,q_step_abs_max,BL_hip_joint_raw_action,BL_hip_joint_sent_action,BL_hip_joint_q_target,BL_hip_joint_qd_fake,BR_hip_joint_raw_action,BR_hip_joint_sent_action,BR_hip_joint_q_target,BR_hip_joint_qd_fake,FL_hip_joint_raw_action,FL_hip_joint_sent_action,FL_hip_joint_q_target,FL_hip_joint_qd_fake,FR_hip_joint_raw_action,FR_hip_joint_sent_action,FR_hip_joint_q_target,FR_hip_joint_qd_fake,BL_thigh_joint_raw_action,BL_thigh_joint_sent_action,BL_thigh_joint_q_target,BL_thigh_joint_qd_fake,BR_thigh_joint_raw_action,BR_thigh_joint_sent_action,BR_thigh_joint_q_target,BR_thigh_joint_qd_fake,FL_thigh_joint_raw_action,FL_thigh_joint_sent_action,FL_thigh_joint_q_target,FL_thigh_joint_qd_fake,FR_thigh_joint_raw_action,FR_thigh_joint_sent_action,FR_thigh_joint_q_target,FR_thigh_joint_qd_fake,BL_calf_joint_raw_action,BL_calf_joint_sent_action,BL_calf_joint_q_target,BL_calf_joint_qd_fake,BR_calf_joint_raw_action,BR_calf_joint_sent_action,BR_calf_joint_q_target,BR_calf_joint_qd_fake,FL_calf_joint_raw_action,FL_calf_joint_sent_action,FL_calf_joint_q_target,FL_calf_joint_qd_fake,FR_calf_joint_raw_action,FR_calf_joint_sent_action,FR_calf_joint_q_target,FR_calf_joint_qd_fake
flat_fake__forward_slow,0,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.410456895828247,0.00711111119017005,0.0017777777975425124,0.0,0.2127513587474823,0.0035458558704704046,0.0008864639676176012,0.04432319849729538,-0.06285101920366287,-0.0010475170565769076,-0.0002618792641442269,-0.013093963265419006,0.4888995289802551,0.00711111119017005,0.0017777777975425124,0.08888889104127884,0.913722813129425,0.00711111119017005,0.0017777777975425124,0.08888889104127884,-0.536078929901123,-0.00711111119017005,-0.0017777777975425124,-0.08888889104127884,0.14549890160560608,0.002424981677904725,0.0006062454194761813,0.030312271788716316,0.2785852253437042,0.004643087275326252,0.001160771818831563,0.05803859233856201,-0.5549368262290955,-0.00711111119017005,-0.0017777777975425124,-0.08888889104127884,-1.257502794265747,-0.00711111119017005,-0.0017777777975425124,-0.08888889104127884,1.8695224523544312,0.00711111119017005,0.0017777777975425124,0.08888889104127884,-1.110440969467163,-0.00711111119017005,-0.0017777777975425124,-0.08888889104127884,2.410456895828247,0.00711111119017005,0.0017777777975425124,0.08888889104127884
flat_fake__forward_slow,1,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.52843976020813,0.014538271352648735,0.0036345678381621838,0.0,0.37316855788230896,0.012478350661695004,0.003119587665423751,0.11165618151426315,0.04599972814321518,0.0015216850442811847,0.00038042126107029617,0.03211502730846405,0.28895682096481323,0.009710907004773617,0.002427726751193404,0.03249744698405266,1.457376480102539,0.014538271352648735,0.0036345678381621838,0.09283950179815292,-0.36918583512306213,-0.01238520722836256,-0.00309630180709064,-0.0659262016415596,0.2829560339450836,0.009458811953663826,0.0023647029884159565,0.08792288601398468,-0.0061551108956336975,-0.0001535805204184726,-3.8395170122385025e-05,-0.05995834991335869,-0.6692123413085938,-0.014538271352648735,-0.0036345678381621838,-0.09283950179815292,-0.8660017848014832,-0.014538271352648735,-0.0036345678381621838,-0.09283950179815292,1.5704071521759033,0.014538271352648735,0.0036345678381621838,0.09283950179815292,-0.6290591359138489,-0.014538271352648735,-0.0036345678381621838,-0.09283950179815292,2.52843976020813,0.014538271352648735,0.0036345678381621838,0.09283950179815292
flat_fake__forward_slow,2,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.743314743041992,0.022302551195025444,0.005575637798756361,0.0,0.4538722634315491,0.022165223956108093,0.005541305989027023,0.12108591943979263,0.1541348695755005,0.007732104975730181,0.0019330262439325452,0.07763025164604187,0.2732056975364685,0.013822133652865887,0.0034555334132164717,0.05139033496379852,1.7903850078582764,0.022302551195025444,0.005575637798756361,0.09705349802970886,-0.3103783428668976,-0.015725338831543922,-0.003931334707885981,-0.041751645505428314,0.31960204243659973,0.016137750819325447,0.004034437704831362,0.08348673582077026,-0.1461271047592163,-0.0073089152574539185,-0.0018272288143634796,-0.0894416868686676,-0.7579277753829956,-0.022302551195025444,-0.005575637798756361,-0.09705349802970886,-0.9276770353317261,-0.022302551195025444,-0.005575637798756361,-0.09705349802970886,1.4680030345916748,0.022302551195025444,0.005575637798756361,0.09705349802970886,-0.536858856678009,-0.022302551195025444,-0.005575637798756361,-0.09705349802970886,2.743314743041992,0.022302551195025444,0.005575637798756361,0.09705349802970886
flat_fake__forward_slow,3,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.8467936515808105,0.030426891520619392,0.007606722880154848,0.0,0.5042082071304321,0.03041468746960163,0.007603671867400408,0.10311829298734665,0.20484286546707153,0.013828015886247158,0.0034570039715617895,0.07619889080524445,0.24515366554260254,0.016650736331939697,0.004162684082984924,0.035357534885406494,2.0038094520568848,0.030426891520619392,0.007606722880154848,0.1015542596578598,-0.24992433190345764,-0.017011074349284172,-0.004252768587321043,-0.01607169397175312,0.3494063913822174,0.023652376607060432,0.005913094151765108,0.09393282234668732,-0.2530725598335266,-0.017033925279974937,-0.004258481319993734,-0.12156262993812561,-0.7709314823150635,-0.030426891520619392,-0.007606722880154848,-0.1015542596578598,-0.9379740357398987,-0.030426891520619392,-0.007606722880154848,-0.1015542596578598,1.3049962520599365,0.030426891520619392,0.007606722880154848,0.1015542596578598,-0.46152710914611816,-0.030426891520619392,-0.007606722880154848,-0.1015542596578598,2.8467936515808105,0.030426891520619392,0.007606722880154848,0.1015542596578598
flat_fake__forward_slow,4,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.945786237716675,0.038936320692300797,0.009734080173075199,0.0,0.5445027351379395,0.038934964686632156,0.009733741171658039,0.10650346428155899,0.23273667693138123,0.019778834655880928,0.004944708663970232,0.07438523322343826,0.22575163841247559,0.019275156781077385,0.004818789195269346,0.03280525654554367,2.110631227493286,0.038936320692300797,0.009734080173075199,0.10636786371469498,-0.197408527135849,-0.016923239454627037,-0.004230809863656759,0.0010979361832141876,0.35040271282196045,0.02985723875463009,0.007464309688657522,0.07756077498197556,-0.29999324679374695,-0.025472601875662804,-0.006368150468915701,-0.10548345744609833,-0.7528070211410522,-0.038936320692300797,-0.009734080173075199,-0.10636786371469498,-0.9686475396156311,-0.038936320692300797,-0.009734080173075199,-0.10636786371469498,1.1950181722640991,0.038936320692300797,0.009734080173075199,0.10636786371469498,-0.43320029973983765,-0.03694521263241768,-0.00923630315810442,-0.081479012966156,2.945786237716675,0.038936320692300797,0.009734080173075199,0.10636786371469498
flat_fake__forward_slow,5,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.9987759590148926,0.04785817861557007,0.011964544653892517,0.0,0.5778447985649109,0.04785799980163574,0.011964499950408936,0.11153794080018997,0.23812660574913025,0.024471955373883247,0.006117988843470812,0.05866400897502899,0.21595782041549683,0.022238288074731827,0.005559572018682957,0.0370391421020031,2.175327777862549,0.04785817861557007,0.011964544653892517,0.11152322590351105,-0.15295466780662537,-0.0158595759421587,-0.003964893985539675,0.013295793905854225,0.3372662365436554,0.034721869975328445,0.008680467493832111,0.06080789119005203,-0.327633261680603,-0.033612415194511414,-0.008403103798627853,-0.10174766927957535,-0.7191720008850098,-0.04785817861557007,-0.011964544653892517,-0.11152322590351105,-0.9690443873405457,-0.04785817861557007,-0.011964544653892517,-0.11152322590351105,1.0900195837020874,0.04785817861557007,0.011964544653892517,0.11152322590351105,-0.38909441232681274,-0.04014095291495323,-0.010035238228738308,-0.03994675353169441,2.9987759590148926,0.04785817861557007,0.011964544653892517,0.11152322590351105
flat_fake__forward_slow,6,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0460205078125,0.057222384959459305,0.014305596239864826,0.0,0.6114876866340637,0.05722235515713692,0.01430558878928423,0.11705444753170013,0.23820069432258606,0.02874176949262619,0.0071854423731565475,0.05337267741560936,0.21261878311634064,0.025670349597930908,0.006417587399482727,0.04290077090263367,2.2089476585388184,0.057222384959459305,0.014305596239864826,0.1170525848865509,-0.11720457673072815,-0.01429062895476818,-0.003572657238692045,0.019611837342381477,0.309647798538208,0.03747587278485298,0.009368968196213245,0.0344250351190567,-0.3280857503414154,-0.03958381712436676,-0.00989595428109169,-0.07464252412319183,-0.6884845495223999,-0.057222384959459305,-0.014305596239864826,-0.1170525848865509,-0.9769811630249023,-0.057222384959459305,-0.014305596239864826,-0.1170525848865509,1.016215205192566,0.057222384959459305,0.014305596239864826,0.1170525848865509,-0.3506624102592468,-0.04247165098786354,-0.010617912746965885,-0.02913372591137886,3.0460205078125,0.057222384959459305,0.014305596239864826,0.1170525848865509
flat_fake__forward_slow,7,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0815513134002686,0.06706175953149796,0.01676543988287449,0.0,0.6419882774353027,0.06706175208091736,0.01676543802022934,0.12299246340990067,0.2324066162109375,0.032264962792396545,0.008066240698099136,0.04403991624712944,0.20855951309204102,0.028948839753866196,0.007237209938466549,0.04098112881183624,2.227857828140259,0.06706175953149796,0.01676543988287449,0.12299218773841858,-0.08758816123008728,-0.012313560582697392,-0.003078390145674348,0.02471335604786873,0.2934311330318451,0.04078974574804306,0.010197436437010765,0.04142341390252113,-0.3393971920013428,-0.04701223969459534,-0.011753059923648834,-0.09285528212785721,-0.6542677283287048,-0.06706175953149796,-0.01676543988287449,-0.12299218773841858,-0.9727736115455627,-0.06706175953149796,-0.01676543988287449,-0.12299218773841858,0.9437269568443298,0.06706175953149796,0.01676543988287449,0.12299218773841858,-0.2993333339691162,-0.04179874062538147,-0.010449685156345367,0.008411379531025887,3.0815513134002686,0.06706175953149796,0.01676543988287449,0.12299218773841858
flat_fake__forward_slow,8,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.129394769668579,0.07741235196590424,0.01935308799147606,0.0,0.672104001045227,0.07741235196590424,0.01935308799147606,0.12938250601291656,0.22343823313713074,0.03512898087501526,0.008782245218753815,0.03580022603273392,0.2051510214805603,0.03222009539604187,0.008055023849010468,0.04089069738984108,2.229830026626587,0.07741235196590424,0.01935308799147606,0.1293824017047882,-0.06319025158882141,-0.010094216093420982,-0.0025235540233552456,0.0277418065816164,0.25970369577407837,0.040995042771101,0.01024876069277525,0.0025662127882242203,-0.31878888607025146,-0.05016894266009331,-0.012542235665023327,-0.03945878893136978,-0.6245172023773193,-0.07741235196590424,-0.01935308799147606,-0.1293824017047882,-0.9921961426734924,-0.07741235196590424,-0.01935308799147606,-0.1293824017047882,0.8974738717079163,0.07741235196590424,0.01935308799147606,0.1293824017047882,-0.2706104516983032,-0.0426815040409565,-0.010670376010239124,-0.011034542694687843,3.129394769668579,0.07741235196590424,0.01935308799147606,0.1293824017047882
flat_fake__forward_slow,9,0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.150099992752075,0.08831385523080826,0.022078463807702065,0.0,0.6993471384048462,0.08831385523080826,0.022078463807702065,0.13626879453659058,0.21045029163360596,0.03702665865421295,0.009256664663553238,0.02372097223997116,0.20272499322891235,0.035577502101659775,0.008894375525414944,0.04196758568286896,2.2200281620025635,0.08831385523080826,0.022078463807702065,0.13626879453659058,-0.0384024977684021,-0.0069612059742212296,-0.0017403014935553074,0.03916262835264206,0.2585218548774719,0.04536448046565056,0.01134112011641264,0.05461797118186951,-0.34137672185897827,-0.05968328192830086,-0.014920820482075214,-0.11892924457788467,-0.5870366096496582,-0.08831385523080826,-0.022078463807702065,-0.13626879453659058,-0.9744849801063538,-0.08831385523080826,-0.022078463807702065,-0.13626879453659058,0.8247113227844238,0.08831385523080826,0.022078463807702065,0.13626879453659058,-0.20498515665531158,-0.036535389721393585,-0.009133847430348396,0.07682643085718155,3.150099992752075,0.08831385523080826,0.022078463807702065,0.13626879453659058
