step,sim_time,command_vx,command_vy,command_yaw,command_label,command_segment_id,command_hold_time_s,command_hold_steps,is_forward,is_backward,is_left,is_right,is_yaw_left,is_yaw_right,is_stop,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,action_abs_max,q_abs_max,qd_abs_max,obs_000,obs_001,obs_002,obs_003,obs_004,obs_005,obs_006,obs_007,obs_008,obs_009,obs_010,obs_011,obs_012,obs_013,obs_014,obs_015,obs_016,obs_017,obs_018,obs_019,obs_020,obs_021,obs_022,obs_023,obs_024,obs_025,obs_026,obs_027,obs_028,obs_029,obs_030,obs_031,obs_032,obs_033,obs_034,obs_035,obs_036,obs_037,obs_038,obs_039,obs_040,obs_041,obs_042,obs_043,obs_044,obs_045,obs_046,obs_047,action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,action_11
1,0.02,0.0,0.0,0.0,stop,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1247149700466252e-07,1.2558612638713385e-07,-1.0,1.1410993337631226,1.7261433601922782e-11,2.2419412992746857e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.1247149700466252e-07,1.2558612638713385e-07,-1.0,0.0,0.0,0.0,-2.636478275280796e-12,9.863897892925522e-12,1.296468314648802e-11,-1.0860547704216739e-11,-1.0693872870559673e-11,2.044724415825594e-12,1.7261433601922782e-11,4.052846599988946e-12,2.1730000611397404e-12,-4.796844345344997e-12,-1.137370362822021e-13,-1.2311334677411745e-12,-2.2419412992746857e-09,3.432447659434956e-10,-1.6979967432106946e-09,-2.867048265464689e-10,2.1409789496829035e-09,-1.1940270994159619e-10,7.928974143922574e-10,8.612309476685454e-11,-1.1107781361374691e-13,-4.145328524884917e-11,-2.9883420737952804e-10,-3.0478652934817774e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27357637882232666,-0.8689154982566833,-0.17806017398834229,0.9073270559310913,0.2541041374206543,-0.25288134813308716,0.41402730345726013,-0.05348648875951767,-1.1410993337631226,0.7006653547286987,-0.7502562999725342,1.0276252031326294
2,0.04,0.0,0.0,0.0,stop,0,0.02,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2474696636199951,0.011617005802690983,2.2509846687316895,1.4137424230575562,0.11420053243637085,-0.09520310908555984,-0.0001184933353215456,0.002811338985338807,-0.9999960660934448,4.36722993850708,0.03521455079317093,12.072144508361816,0.0,0.0,0.0,1.4137424230575562,0.11420053243637085,-0.09520310908555984,-0.0001184933353215456,0.002811338985338807,-0.9999960660934448,0.0,0.0,0.0,-0.003025469835847616,-0.0029629014898091555,0.0032086174469441175,0.003149147843942046,0.03452856093645096,-0.03365768492221832,0.03354508429765701,-0.033400941640138626,0.03521455079317093,-0.034124068915843964,0.033803556114435196,-0.033728186041116714,1.4100186824798584,1.4528164863586426,-1.2104849815368652,-1.2527368068695068,-7.793137550354004,7.8756303787231445,-8.207847595214844,6.163354873657227,-10.92590618133545,10.79039192199707,-12.072144508361816,7.5873847007751465,0.27357637882232666,-0.8689154982566833,-0.17806017398834229,0.9073270559310913,0.2541041374206543,-0.25288134813308716,0.41402730345726013,-0.05348648875951767,-1.1410993337631226,0.7006653547286987,-0.7502562999725342,1.0276252031326294,-1.1624500751495361,-0.7924971580505371,0.3601651191711426,0.08674545586109161,0.6214964389801025,1.6556305885314941,2.5030975341796875,-1.3554661273956299,4.36722993850708,-1.20662522315979,2.603532314300537,-4.3521294593811035
3,0.06,0.0,0.0,0.0,stop,0,0.04,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.716434121131897,0.044731255620718,2.5739567279815674,0.6728189587593079,-0.1624242216348648,0.010643726214766502,-5.634973058477044e-05,0.007732223253697157,-0.9999700784683228,7.50565767288208,0.08287891000509262,13.379474639892578,0.0,0.0,0.0,0.6728189587593079,-0.1624242216348648,0.010643726214766502,-5.634973058477044e-05,0.007732223253697157,-0.9999700784683228,0.0,0.0,0.0,-0.008363288827240467,-0.008109684102237225,0.008765609934926033,0.008599222637712955,0.08287891000509262,-0.08137521892786026,0.08110708743333817,-0.08108427375555038,0.08279155194759369,-0.08130241930484772,0.08033691346645355,-0.08078008145093918,1.1134039163589478,0.6497170925140381,-1.1960456371307373,-0.7032248973846436,-7.201340675354004,7.3790388107299805,-7.815534591674805,8.117209434509277,-12.102209091186523,11.576607704162598,-13.379474639892578,12.802704811096191,-1.1624500751495361,-0.7924971580505371,0.3601651191711426,0.08674545586109161,0.6214964389801025,1.6556305885314941,2.5030975341796875,-1.3554661273956299,4.36722993850708,-1.20662522315979,2.603532314300537,-4.3521294593811035,-2.82370924949646,1.2136894464492798,2.2957723140716553,-2.026099443435669,2.5564873218536377,-2.31413197517395,5.797851085662842,-4.557529926300049,7.259592533111572,-4.8177714347839355,6.478260517120361,-7.50565767288208
4,0.08,0.0,0.0,0.0,stop,0,0.06,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5827799439430237,0.011731932871043682,3.043987989425659,-0.21985328197479248,-0.6202644109725952,-0.029552113264799118,-0.005836936179548502,0.006630685180425644,-0.9999609589576721,8.287917137145996,0.21371613442897797,16.348222732543945,0.0,0.0,0.0,-0.21985328197479248,-0.6202644109725952,-0.029552113264799118,-0.005836936179548502,0.006630685180425644,-0.9999609589576721,0.0,0.0,0.0,-0.0067019034177064896,-0.006404104642570019,0.0072566852904856205,0.007112202700227499,0.18175408244132996,-0.18317697942256927,0.16600766777992249,-0.1662038266658783,0.2094980627298355,-0.21371613442897797,0.18491676449775696,-0.18491876125335693,-0.10473248362541199,0.0577826201915741,0.2779112458229065,0.20894326269626617,-1.689685583114624,4.251855373382568,-4.857803821563721,4.97907018661499,-8.021697044372559,9.863509178161621,-16.348222732543945,16.282752990722656,-2.82370924949646,1.2136894464492798,2.2957723140716553,-2.026099443435669,2.5564873218536377,-2.31413197517395,5.797851085662842,-4.557529926300049,7.259592533111572,-4.8177714347839355,6.478260517120361,-7.50565767288208,-2.898979902267456,1.9798173904418945,2.6357505321502686,-3.3562021255493164,3.593790292739868,-4.509434700012207,6.768000602722168,-5.48184871673584,8.287917137145996,-7.18436336517334,7.878420829772949,-7.373020172119141
5,0.1,0.0,0.0,0.0,stop,0,0.08,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.388992428779602,-0.025780387222766876,2.8106720447540283,-0.05890302360057831,-0.9601675271987915,-0.020626148208975792,-0.028446704149246216,0.006485982798039913,-0.9995742440223694,8.00754165649414,0.44565242528915405,10.220830917358398,0.0,0.0,0.0,-0.05890302360057831,-0.9601675271987915,-0.020626148208975792,-0.028446704149246216,0.006485982798039913,-0.9995742440223694,0.0,0.0,0.0,-0.006581253372132778,-0.006440609227865934,0.006094748619943857,0.006047271192073822,0.382215291261673,-0.3812108039855957,0.3030780553817749,-0.30150994658470154,0.44565242528915405,-0.4453859329223633,0.322090208530426,-0.313768208026886,-0.1653866022825241,0.1806592345237732,0.10070845484733582,0.11856517195701599,-0.29723024368286133,0.15203118324279785,-2.2323689460754395,2.646484613418579,-6.082904815673828,5.636445045471191,-9.363612174987793,10.220830917358398,-2.898979902267456,1.9798173904418945,2.6357505321502686,-3.3562021255493164,3.593790292739868,-4.509434700012207,6.768000602722168,-5.48184871673584,8.287917137145996,-7.18436336517334,7.878420829772949,-7.373020172119141,-3.1008541584014893,1.5289738178253174,2.1379892826080322,-2.37737774848938,3.5748329162597656,-4.1839213371276855,4.79141092300415,-4.771892070770264,8.00754165649414,-7.199564456939697,7.269387245178223,-6.194324970245361
6,0.12,0.0,0.0,0.0,stop,0,0.1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6074150800704956,-0.027278082445263863,2.2106828689575195,0.049273405224084854,-0.8164230585098267,-0.007499557454138994,-0.05323510989546776,0.0042608389630913734,-0.9985729455947876,6.169971466064453,0.6822127103805542,5.114452838897705,0.0,0.0,0.0,0.049273405224084854,-0.8164230585098267,-0.007499557454138994,-0.05323510989546776,0.0042608389630913734,-0.9985729455947876,0.0,0.0,0.0,-0.006348137278109789,-0.0059419614262878895,0.004297503735870123,0.004024124704301357,0.6113296747207642,-0.6117551326751709,0.4758463501930237,-0.4759129285812378,0.6809101104736328,-0.6822127103805542,0.4834211468696594,-0.4746793806552887,0.15998715162277222,-0.01734979823231697,-0.12990933656692505,0.07458561658859253,3.8324179649353027,-5.114452838897705,3.1831746101379395,-3.369931936264038,-1.5980157852172852,-0.5856306552886963,-1.6934940814971924,1.1819560527801514,-3.1008541584014893,1.5289738178253174,2.1379892826080322,-2.37737774848938,3.5748329162597656,-4.1839213371276855,4.79141092300415,-4.771892070770264,8.00754165649414,-7.199564456939697,7.269387245178223,-6.194324970245361,-1.1648826599121094,1.524436354637146,0.15735352039337158,-1.084786295890808,2.664961576461792,-1.9248528480529785,1.4789401292800903,-2.5317869186401367,6.169971466064453,-5.100327014923096,4.584451675415039,-3.8492214679718018
7,0.14,0.0,0.0,0.0,stop,0,0.12,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2340253591537476,0.00020340876653790474,2.076127052307129,0.16490106284618378,0.1621679663658142,0.0006599086918868124,-0.05803289636969566,0.0024094863329082727,-0.9983117580413818,4.025320529937744,0.8867800831794739,4.254218578338623,0.0,0.0,0.0,0.16490106284618378,0.1621679663658142,0.0006599086918868124,-0.05803289636969566,0.0024094863329082727,-0.9983117580413818,0.0,0.0,0.0,-0.0048185051418840885,-0.0013790697557851672,0.00259012239985168,-0.0020471096504479647,0.7330055236816406,-0.7521253824234009,0.6212398409843445,-0.6269695162773132,0.8867800831794739,-0.8534238934516907,0.6575425267219543,-0.6406102776527405,-0.08286061882972717,0.3828870356082916,0.061933450400829315,-0.9437494874000549,-0.13338309526443481,0.11284583061933517,0.6070795059204102,-2.618786573410034,4.254218578338623,-1.9781885147094727,1.5456938743591309,-2.3980720043182373,-1.1648826599121094,1.524436354637146,0.15735352039337158,-1.084786295890808,2.664961576461792,-1.9248528480529785,1.4789401292800903,-2.5317869186401367,6.169971466064453,-5.100327014923096,4.584451675415039,-3.8492214679718018,-2.1503899097442627,4.025320529937744,-1.4849382638931274,-0.4231451749801636,2.626568078994751,-0.33537957072257996,-0.8426812291145325,-0.31603455543518066,3.834265947341919,-2.502807378768921,1.8347374200820923,-1.4653081893920898
8,0.16,0.0,0.0,0.0,stop,0,0.14,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1339101791381836,0.023666687309741974,2.056114912033081,0.032136887311935425,0.06746098399162292,-0.1517496556043625,-0.056568894535303116,-0.0020079961977899075,-0.9983966946601868,3.8514351844787598,0.8862686157226562,3.5508744716644287,0.0,0.0,0.0,0.032136887311935425,0.06746098399162292,-0.1517496556043625,-0.056568894535303116,-0.0020079961977899075,-0.9983966946601868,0.0,0.0,0.0,-0.012248506769537926,0.10529568791389465,-0.0005695163272321224,-0.02202858403325081,0.7249265909194946,-0.6729155778884888,0.5622768998146057,-0.6011146306991577,0.8862686157226562,-0.80028235912323,0.6147756576538086,-0.589309811592102,-0.008434198796749115,3.0909764766693115,0.034155506640672684,0.0928862988948822,-0.0020456125494092703,2.688234329223633,-3.5508744716644287,1.1604748964309692,4.793548214365728e-06,-0.0014123443979769945,0.01897089183330536,0.05311378464102745,-2.1503899097442627,4.025320529937744,-1.4849382638931274,-0.4231451749801636,2.626568078994751,-0.33537957072257996,-0.8426812291145325,-0.31603455543518066,3.834265947341919,-2.502807378768921,1.8347374200820923,-1.4653081893920898,-2.6073646545410156,3.8514351844787598,-2.288956642150879,-0.09917448461055756,1.6915141344070435,0.005371429026126862,-1.8543909788131714,0.7089719176292419,2.990095376968384,-1.3575289249420166,1.1636172533035278,0.24860401451587677
9,0.18,0.0,0.0,0.0,stop,0,0.16,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0486358404159546,0.02582336589694023,1.952610731124878,-0.14936649799346924,0.039764098823070526,-0.05517728626728058,-0.056407373398542404,0.0021896022371947765,-0.9984054565429688,2.7503528594970703,0.8552665710449219,6.423418045043945,0.0,0.0,0.0,-0.14936649799346924,0.039764098823070526,-0.05517728626728058,-0.056407373398542404,0.0021896022371947765,-0.9984054565429688,0.0,0.0,0.0,-0.044164128601551056,0.1908910721540451,-0.00818650983273983,-0.030540382489562035,0.7008940577507019,-0.5780138969421387,0.43203553557395935,-0.5170758962631226,0.8552665710449219,-0.6870019435882568,0.5429625511169434,-0.43295517563819885,0.004693608731031418,1.1673157215118408,-0.7444596290588379,0.20011024177074432,-0.0035996213555336,2.405006170272827,-6.423418045043945,3.1155993938446045,8.89079092303291e-06,-0.0017653107643127441,0.02506941556930542,2.5079941749572754,-2.6073646545410156,3.8514351844787598,-2.288956642150879,-0.09917448461055756,1.6915141344070435,0.005371429026126862,-1.8543909788131714,0.7089719176292419,2.990095376968384,-1.3575289249420166,1.1636172533035278,0.24860401451587677,-1.4024783372879028,2.7503528594970703,-1.434325933456421,-0.015226319432258606,1.1720855236053467,0.6764770150184631,-1.944525957107544,1.258186936378479,1.2188423871994019,-0.4793587327003479,-0.4020175635814667,0.6628494262695312
10,0.2,0.0,0.0,0.0,stop,0,0.18,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9618057012557983,0.011472530663013458,1.8281842470169067,-0.40237247943878174,0.18419194221496582,-0.07042522728443146,-0.05149020254611969,0.009771941229701042,-0.9986256957054138,1.8817161321640015,0.7156467437744141,8.053343772888184,0.0,0.0,0.0,-0.40237247943878174,0.18419194221496582,-0.07042522728443146,-0.05149020254611969,0.009771941229701042,-0.9986256957054138,0.0,0.0,0.0,-0.06085723638534546,0.22255457937717438,-0.010348515585064888,-0.03386928141117096,0.6575354337692261,-0.46742239594459534,0.257295697927475,-0.4032503366470337,0.7156467437744141,-0.5329998135566711,0.37446853518486023,-0.278119832277298,0.11215092241764069,-0.1420021802186966,-0.279934823513031,0.07931074500083923,-0.5830157995223999,3.4919936656951904,-8.053343772888184,4.576411724090576,-1.689672589302063,0.47263896465301514,-5.738772869110107,2.752419948577881,-1.4024783372879028,2.7503528594970703,-1.434325933456421,-0.015226319432258606,1.1720855236053467,0.6764770150184631,-1.944525957107544,1.258186936378479,1.2188423871994019,-0.4793587327003479,-0.4020175635814667,0.6628494262695312,-0.1854240745306015,1.8817161321640015,-0.905745804309845,0.14616835117340088,0.29474058747291565,0.814591109752655,-1.1727057695388794,1.0648062229156494,0.1546446681022644,0.12867029011249542,-1.2224901914596558,0.3672725260257721
