joint_name,joint_index,default_q,default_qd,joint_stiffness,joint_damping,joint_armature,joint_friction_coeff,joint_dynamic_friction_coeff,joint_viscous_friction_coeff,gear_ratio,joint_pos_limit_lower,joint_pos_limit_upper,soft_joint_pos_limit_lower,soft_joint_pos_limit_upper,joint_vel_limit,soft_joint_vel_limit,joint_effort_limit
BL_hip_joint,0,0.0,0.0,80.0,5.0,0.01,0.1,0.0,0.6,1.0,-0.79,0.79,-0.79,0.79,25.0,25.0,75.0
BR_hip_joint,1,0.0,0.0,80.0,5.0,0.01,0.1,0.0,0.6,1.0,-0.79,0.79,-0.79,0.79,25.0,25.0,75.0
FL_hip_joint,2,0.0,0.0,80.0,5.0,0.01,0.1,0.0,0.6,1.0,-0.79,0.79,-0.79,0.79,25.0,25.0,60.0
FR_hip_joint,3,0.0,0.0,80.0,5.0,0.01,0.1,0.0,0.6,1.0,-0.79,0.79,-0.79,0.79,25.0,25.0,60.0
BL_thigh_joint,4,0.0,0.0,130.0,8.0,0.01,0.1,0.0,0.6,1.0,-1.68,1.68,-1.68,1.68,22.0,22.0,120.0
BR_thigh_joint,5,0.0,0.0,130.0,8.0,0.01,0.1,0.0,0.6,1.0,-1.68,1.68,-1.68,1.68,22.0,22.0,120.0
FL_thigh_joint,6,0.0,0.0,110.0,6.5,0.01,0.1,0.0,0.6,1.0,-1.68,1.68,-1.68,1.68,22.0,22.0,90.0
FR_thigh_joint,7,0.0,0.0,110.0,6.5,0.01,0.1,0.0,0.6,1.0,-1.68,1.68,-1.68,1.68,22.0,22.0,90.0
BL_calf_joint,8,0.0,0.0,130.0,8.0,0.01,0.1,0.0,0.6,1.0,0.0,1.56,0.0,1.56,22.0,22.0,130.0
BR_calf_joint,9,0.0,0.0,130.0,8.0,0.01,0.1,0.0,0.6,1.0,-1.56,0.0,-1.56,0.0,22.0,22.0,130.0
FL_calf_joint,10,0.0,0.0,110.0,6.5,0.01,0.1,0.0,0.6,1.0,0.0,1.56,0.0,1.56,22.0,22.0,95.0
FR_calf_joint,11,0.0,0.0,110.0,6.5,0.01,0.1,0.0,0.6,1.0,-1.56,0.0,-1.56,0.0,22.0,22.0,95.0
