policy_index,action_index,policy_joint_name,mujoco_joint_name,mujoco_joint_id,qpos_address,qvel_address,lower_limit_rad,upper_limit_rad,q_default_rad,motor_direction_sign,motor_target_scale,motor_target_offset_rad,motor_target_conversion,policy_kp,policy_kd,effort_limit_nm,saturation_effort_nm,velocity_limit_rps
0,0,BL_hip_joint,BL_collar_joint,10,16,15,-0.79,0.79,0.0,1.0,1.0,0.0,identity,80.0,5.0,75.0,100.0,25.0
1,1,BR_hip_joint,BR_collar_joint,7,13,12,-0.79,0.79,0.0,1.0,1.0,0.0,identity,80.0,5.0,75.0,100.0,25.0
2,2,FL_hip_joint,FL_collar_joint,4,10,9,-0.79,0.79,0.0,1.0,1.0,0.0,identity,80.0,5.0,60.0,85.0,25.0
3,3,FR_hip_joint,FR_collar_joint,1,7,6,-0.79,0.79,0.0,1.0,1.0,0.0,identity,80.0,5.0,60.0,85.0,25.0
4,4,BL_thigh_joint,BL_hip_joint,11,17,16,-1.68,1.68,0.0,1.0,1.0,0.0,identity,130.0,8.0,120.0,160.0,22.0
5,5,BR_thigh_joint,BR_hip_joint,8,14,13,-1.68,1.68,0.0,1.0,1.0,0.0,identity,130.0,8.0,120.0,160.0,22.0
6,6,FL_thigh_joint,FL_hip_joint,5,11,10,-1.68,1.68,0.0,1.0,1.0,0.0,identity,110.0,6.5,90.0,130.0,22.0
7,7,FR_thigh_joint,FR_hip_joint,2,8,7,-1.68,1.68,0.0,1.0,1.0,0.0,identity,110.0,6.5,90.0,130.0,22.0
8,8,BL_calf_joint,BL_knee_joint,12,18,17,0.0,1.56,0.0,1.0,1.0,0.0,identity,130.0,8.0,130.0,170.0,22.0
9,9,BR_calf_joint,BR_knee_joint,9,15,14,-1.56,0.0,0.0,1.0,1.0,0.0,identity,130.0,8.0,130.0,170.0,22.0
10,10,FL_calf_joint,FL_knee_joint,6,12,11,0.0,1.56,0.0,1.0,1.0,0.0,identity,110.0,6.5,95.0,140.0,22.0
11,11,FR_calf_joint,FR_knee_joint,3,9,8,-1.56,0.0,0.0,1.0,1.0,0.0,identity,110.0,6.5,95.0,140.0,22.0
